email,surname,name,region
anon10115@canterbury.ac.uk,Surname10115,Name10115,GB
anon10116@canterbury.ac.uk,Surname10116,Name10116,US
anon10117@canterbury.ac.uk,Surname10117,Name10117,IT
anon10118@canterbury.ac.uk,Surname10118,Name10118,IT
anon10119@canterbury.ac.uk,Surname10119,Name10119,FR
anon1011@canterbury.ac.uk,Surname1011,Name1011,US
anon10120@canterbury.ac.uk,Surname10120,Name10120,FR
anon10121@canterbury.ac.uk,Surname10121,Name10121,CN
anon10122@canterbury.ac.uk,Surname10122,Name10122,GB
anon10123@canterbury.ac.uk,Surname10123,Name10123,IT
anon10124@canterbury.ac.uk,Surname10124,Name10124,CN
anon10125@canterbury.ac.uk,Surname10125,Name10125,IT
anon10126@canterbury.ac.uk,Surname10126,Name10126,FR
anon10127@canterbury.ac.uk,Surname10127,Name10127,CN
anon10128@canterbury.ac.uk,Surname10128,Name10128,ES
anon10129@canterbury.ac.uk,Surname10129,Name10129,IT
anon1012@canterbury.ac.uk,Surname1012,Name1012,US
anon10130@canterbury.ac.uk,Surname10130,Name10130,GB
anon10131@canterbury.ac.uk,Surname10131,Name10131,GB
anon10132@canterbury.ac.uk,Surname10132,Name10132,FR
anon10133@canterbury.ac.uk,Surname10133,Name10133,CN
anon10134@canterbury.ac.uk,Surname10134,Name10134,IT
anon10135@canterbury.ac.uk,Surname10135,Name10135,GB
anon10136@canterbury.ac.uk,Surname10136,Name10136,CN
anon10137@canterbury.ac.uk,Surname10137,Name10137,US
anon10138@canterbury.ac.uk,Surname10138,Name10138,FR
anon10139@canterbury.ac.uk,Surname10139,Name10139,IT
anon1013@canterbury.ac.uk,Surname1013,Name1013,US
anon10140@canterbury.ac.uk,Surname10140,Name10140,ES
anon10141@canterbury.ac.uk,Surname10141,Name10141,FR
anon10142@canterbury.ac.uk,Surname10142,Name10142,FR
anon10143@canterbury.ac.uk,Surname10143,Name10143,US
anon10144@canterbury.ac.uk,Surname10144,Name10144,GB
anon10145@canterbury.ac.uk,Surname10145,Name10145,GB
anon10146@canterbury.ac.uk,Surname10146,Name10146,IT
anon10147@canterbury.ac.uk,Surname10147,Name10147,FR
anon10148@canterbury.ac.uk,Surname10148,Name10148,GB
anon10149@canterbury.ac.uk,Surname10149,Name10149,ES
anon1014@canterbury.ac.uk,Surname1014,Name1014,ES
anon10150@canterbury.ac.uk,Surname10150,Name10150,IT
anon10151@canterbury.ac.uk,Surname10151,Name10151,IT
anon10152@canterbury.ac.uk,Surname10152,Name10152,ES
anon10153@canterbury.ac.uk,Surname10153,Name10153,CN
anon10154@canterbury.ac.uk,Surname10154,Name10154,ES
anon10155@canterbury.ac.uk,Surname10155,Name10155,CN
anon10156@canterbury.ac.uk,Surname10156,Name10156,GB
anon10157@canterbury.ac.uk,Surname10157,Name10157,ES
anon10158@canterbury.ac.uk,Surname10158,Name10158,FR
anon10159@canterbury.ac.uk,Surname10159,Name10159,GB
anon1015@canterbury.ac.uk,Surname1015,Name1015,IT
anon10160@canterbury.ac.uk,Surname10160,Name10160,CN
anon10161@canterbury.ac.uk,Surname10161,Name10161,GB
anon10162@canterbury.ac.uk,Surname10162,Name10162,US
anon10163@canterbury.ac.uk,Surname10163,Name10163,FR
anon10164@canterbury.ac.uk,Surname10164,Name10164,IT
anon10165@canterbury.ac.uk,Surname10165,Name10165,FR
anon10166@canterbury.ac.uk,Surname10166,Name10166,FR
anon10167@canterbury.ac.uk,Surname10167,Name10167,GB
anon10168@canterbury.ac.uk,Surname10168,Name10168,IT
anon10169@canterbury.ac.uk,Surname10169,Name10169,IT
anon1016@canterbury.ac.uk,Surname1016,Name1016,ES
anon10170@canterbury.ac.uk,Surname10170,Name10170,US
anon10171@canterbury.ac.uk,Surname10171,Name10171,IT
anon10172@canterbury.ac.uk,Surname10172,Name10172,CN
anon10173@canterbury.ac.uk,Surname10173,Name10173,GB
anon10174@canterbury.ac.uk,Surname10174,Name10174,ES
anon10175@canterbury.ac.uk,Surname10175,Name10175,IT
anon10176@canterbury.ac.uk,Surname10176,Name10176,GB
anon10177@canterbury.ac.uk,Surname10177,Name10177,US
anon10178@canterbury.ac.uk,Surname10178,Name10178,FR
anon10179@canterbury.ac.uk,Surname10179,Name10179,CN
anon1017@canterbury.ac.uk,Surname1017,Name1017,IT
